agencyTwitter,gunCount
1/1/18,0
1/2/18,0
1/3/18,0
1/4/18,0
1/5/18,0
1/6/18,0
1/7/18,0
1/8/18,0
1/9/18,0
1/10/18,0
1/11/18,0
1/12/18,0
1/13/18,0
1/14/18,0
1/15/18,0
1/16/18,2
1/17/18,0
1/18/18,0
1/19/18,5
1/20/18,0
1/21/18,0
1/22/18,0
1/23/18,2
1/24/18,1
1/25/18,0
1/26/18,1
1/27/18,2
1/28/18,0
1/29/18,1
1/30/18,1
1/31/18,0
2/1/18,0
2/2/18,0
2/3/18,0
2/4/18,0
2/5/18,0
2/6/18,0
2/7/18,0
2/8/18,0
2/9/18,0
2/10/18,0
2/11/18,1
2/12/18,0
2/13/18,0
2/14/18,1
2/15/18,5
2/16/18,6
2/17/18,2
2/18/18,0
2/19/18,0
2/20/18,4
2/21/18,5
2/22/18,3
2/23/18,0
2/24/18,0
2/25/18,1
2/26/18,1
2/27/18,1
2/28/18,1
3/1/18,0
3/2/18,0
3/3/18,0
3/4/18,0
3/5/18,0
3/6/18,0
3/7/18,0
3/8/18,0
3/9/18,0
3/10/18,1
3/11/18,1
3/12/18,6
3/13/18,2
3/14/18,8
3/15/18,4
3/16/18,2
3/17/18,0
3/18/18,0
3/19/18,0
3/20/18,4
3/21/18,0
3/22/18,0
3/23/18,2
3/24/18,7
3/25/18,0
3/26/18,2
3/27/18,0
3/28/18,2
3/29/18,1
3/30/18,0
3/31/18,0
